incident_id,event_id,incident_type,status,priority
INC-0001,EVT-000923,Phishing,Investigating,P4-Low
INC-0002,EVT-001162,Malware,Resolved,P2-High
INC-0003,EVT-000436,Malware,Resolved,P3-Medium
INC-0004,EVT-000381,Unauthorized Access,Resolved,P3-Medium
INC-0005,EVT-000412,Brute Force,Resolved,P2-High
INC-0006,EVT-000121,Brute Force,Contained,P2-High
INC-0007,EVT-000375,Unauthorized Access,Investigating,P1-Critical
INC-0008,EVT-000393,Brute Force,Open,P4-Low
INC-0009,EVT-000532,Malware,Investigating,P4-Low
INC-0010,EVT-000838,Vulnerability Exploit,Investigating,P4-Low
INC-0011,EVT-000903,Brute Force,Open,P1-Critical
INC-0012,EVT-000224,Malware,Investigating,P2-High
INC-0013,EVT-000341,Brute Force,Contained,P1-Critical
INC-0014,EVT-000164,Unauthorized Access,Contained,P4-Low
INC-0015,EVT-000601,Vulnerability Exploit,Resolved,P2-High
INC-0016,EVT-000176,Unauthorized Access,Open,P2-High
INC-0017,EVT-000774,Vulnerability Exploit,Contained,P3-Medium
INC-0018,EVT-000256,Malware,Resolved,P2-High
INC-0019,EVT-000567,Phishing,Investigating,P3-Medium
INC-0020,EVT-000132,Malware,Contained,P1-Critical
